0.0001 9.2967
0.0028 9.2848
0.0055 9.2502
0.0083 9.1931
0.0110 9.1140
0.0138 9.0134
0.0165 8.8920
0.0192 8.7508
0.0220 8.5907
0.0247 8.4128
0.0275 8.2184
0.0302 8.0088
0.0329 7.7854
0.0357 7.5496
0.0384 7.3031
0.0412 7.0472
0.0439 6.7837
0.0464 6.4897
0.0477 6.4978
0.0499 6.1419
0.0527 5.9749
0.0554 5.6611
0.0581 5.3705
0.0609 5.2459
0.0636 5.0206
0.0664 4.8085
0.0691 4.4795
0.0719 4.3754
0.0746 4.0576
0.0773 3.8412
0.0801 3.6805
0.0828 3.5379
0.0856 3.2754
0.0883 3.1314
0.0910 2.9788
0.0938 2.8254
0.0965 2.6868
0.0993 2.5855
0.1020 2.5002
0.1047 2.3441
0.1075 2.2289
0.1102 2.0857
0.1130 1.9829
0.1157 1.9652
0.1184 1.8693
0.1212 1.7738
0.1242 1.6980
0.1269 1.6768
0.1297 1.5710
0.1324 1.4994
0.1352 1.4174
0.1379 1.3367
0.1406 1.3252
0.1434 1.2308
0.1461 1.2227
0.1489 1.1536
0.1516 1.0896
0.1543 1.0623
0.1571 1.0350
0.1598 1.0109
0.1626 0.9509
0.1653 0.9380
0.1680 0.9017
0.1708 0.8692
0.1735 0.8463
0.1763 0.8027
0.1790 0.7797
0.1817 0.7482
0.1845 0.7833
0.1872 0.6622
0.1900 0.7177
0.1927 0.6751
0.1954 0.6540
0.1982 0.6378
0.2009 0.5904
0.2037 0.5791
0.2064 0.5604
0.2091 0.5857
