0.0321 8.0493
0.0374 7.1876
0.0427 6.4810
0.0480 5.5895
0.0533 5.1621
0.0586 5.2801
0.0639 4.3232
0.0693 3.8733
0.0746 3.7942
0.0799 3.7967
0.0852 3.0478
0.0905 2.9703
0.0958 2.6022
0.1011 2.4103
0.1064 2.1846
0.1117 2.0478
0.1171 1.9151
0.1226 1.5381
0.1280 2.0831
0.1333 1.7010
0.1386 1.5048
0.1439 1.6385
0.1492 1.6415
0.1545 1.4356
0.1598 1.0921
0.1651 0.5232
0.1704 1.1386
0.1758 0.7191
0.1811 0.7123
0.1864 1.6061
0.1917 1.0569
0.1970 1.1920
0.2023 0.9535
0.2076 1.3253
0.2129 0.9509
0.2182 1.2256
0.2235 1.0421
0.2289 0.8922
0.2342 1.1578
0.2395 0.7772
0.2448 0.9294
0.2501 0.8905
0.2554 0.5501
0.2607 -0.0250
0.2660 0.4923
0.2713 0.8008
0.2767 0.6718
0.2820 0.6598
